id,number,date,body
337520350,3381,2014-06-22 22:51:17,"Do you have a working example test-case?  (If it's in the middle of a large development, you can use my scripts at https://github.com/JasonGross/coq-bug-finder.)  [I don't know the code well enough to look into this, but I'm making test-suite example files.]\nNote that all:eassumption does't backtrack nicely:\nAxioms A B : Type.\nExisting Class A.\nExisting Class B.\nGoal forall (a a' : A) (b b' : B) (H : a = a') (H' : b = b'), exists (a0 : id A) (b0 : id B), a0 = a' /\ b0 = b'.\nintros.\nrefine (ex_intro _ _ (ex_intro _ _ (conj _ _))); unfold id.\nall:eassumption. (* failure *)\nFurthermore, all:typeclasses eauto with core will solve the following goal, which all:eassumption will not:\nAxioms A B : Type.\nExisting Class A.\nExisting Class B.\nGoal forall (a : A, a' : A) (b : B, b' : B) (H : a = a) (H' : b = b), exists (a0 : id A) (b0 : id B), a0 = a' /\ b0 = b'.\nintros."
337520354,3381,2014-06-23 15:43:21,"I will attempt to use your coq-bug-finder to extract a simple test case out of my development.  However, if it doesn't work, my development is housed in github, and I can show how to reproduce this bug with a slight alteration to a case that exists there.\nFirst, I will try your coq-bug-finder...\n-- Jonathan"
337520355,3381,2014-06-23 16:46:29,"The coq-bug-finder crashed with the following error:\n...\nSending statements to coqtop...\nDone.  Splitting to definitions...\nSplitting to definitions unsuccessful.  I will not be able to proceed.  Writing split file to /home/jil/git/mindless-coding/tmptB0ygV.v.\nThe output given was:\nFile ""/tmp/tmpe3gp50.v"", line 581, characters 10-11:\nSyntax error: ',' or ')' expected after [constr:operconstr level 200] (in [constr:operconstr]).\nI think it is very confused by usage of bullets (-+*{}) in proof scripts.  How do you want to proceed, if not as below?:\nThe test case I have without using coq-bug-finder is quite large, but is reproducible.  It is a slight variation on a file I have in my github development https://github.com/jonleivent/mindless-coding.  The file is gaptreeb.v.  If you start with that file, and change the definition of ""insert"" to the following (just the last line changing):\nDefinition insert(x : A){gl gr h f}(t : gaptree gl gr h f)\n: insertResult x h f.\nProof.\nRecurse t = Node gl tl d gr tr [GoLeft|GoRight].\n- Compare x d."
337520361,3381,2014-06-23 17:33:03,"It's getting confused by your ""-intros ..."".  I suspect an off-by-one bug somewhere, which I'll go work on fixing, but in the mean time, if you add spaces after all of your bullets, coq-bug-finder should work fine on your files."
337520362,3381,2014-06-23 17:35:37,"And I meant to submit that comment 15 minutes ago, but it collided with yours and I didn't realize it.  Anyway, I've pushed a change that fixes coq-bug-finder for this case, and it should work for you now.  (I was using gaptree.v.  Oops.)  Let me know if you run in to any other trouble."
337520363,3381,2014-06-23 19:09:51,"Are you set up sufficiently with respect to the typeclasses eauto test case, or do you still need for me to generate that via the fixed coq-bug-finder?"
337520365,3381,2014-06-23 19:13:08,"I'd rather have you generate the file and attach/post it here.  I find that I can often simplify my files further by running coq-bug-finder once on them, then noticing where, e.g., by removing record fields that aren't needed, or knowing arguments that don't need to be carried around everywhere and can be removed.  (And then I'll run coq-bug-finder again.)\nI'm also interested in getting feedback on, and more users of, coq-bug-finder."
337520367,3381,2014-06-23 20:43:55,"test case process by coq-bug-finder\nThe context following the final ""eapply iFitRight."" should match the context described in the first message in this bug report.  From there, the use of typeclasses eauto with core (or, my ""zauto"" tactic, which is almost the same thing) in the first subgoal demonstrates the over-eager solution of evars in all of the other subgoals, to the point where they are no longer solvable.  As is following the ""eapply iFitRight."", all subgoals are solvable by eassumption.\n\nAttached file: stripped_gaptreebug.v (text/x-verilog, 10376 bytes)\nDescription:   test case process by coq-bug-finder"
337520368,3381,2014-09-13 21:16:14,"newer test case processed by coq-bug-finder\n\nAttached file: tceainstbug.v (text/x-verilog, 8918 bytes)\nDescription:   newer test case processed by coq-bug-finder"
337551229,5353,2017-02-12 23:39:03,"(* File reduced by coq-bug-finder from original input, then from 835 lines to \n46 lines, then from 63 lines to 13 lines, then from 1748 lines to 171 lines, \nthen from 531 lines to 194 lines, then from 386 lines to 204 lines, then from \n218 lines to 204 lines, then from 208 lines to 162 lines, then from 176 lines \nto 162 lines, then from 152 lines to 107 lines, then from 121 lines to 107 \nlines, then from 94 lines to 45 lines, then from 59 lines to 45 lines *)\n(* coqc version 8.6 (January 2017) compiled on Jan 23 2017 15:17:5 with OCaml \n4.02.3\n   coqtop version jgross-Leopard-WS:/home/jgross/Downloads/coq/coq-v8.6,(HEAD \ndetached from 7e992fa) (cfce4732363c7a93ffb7231335463d4\\n1c47074ea) *)\nRequire Import Coq.Classes.Morphisms Coq.Setoids.Setoid.\nClass Decidable (P : Prop) := dec : {P} + {~P}.\nNotation DecidableRel R := (forall x y, Decidable (R x y)).\nSection Algebra."
